date,keyword,search_interest
2023-07-30,yoga nidra,72
2023-08-06,breathwork,42
2023-08-06,guided meditation,55
2023-08-06,meditation,73
2023-08-06,mindfulness,50
2023-08-06,yoga nidra,70
2023-08-13,breathwork,40
2023-08-13,guided meditation,56
2023-08-13,meditation,73
2023-08-13,mindfulness,49
2023-08-13,yoga nidra,70
2023-08-20,breathwork,42
2023-08-20,guided meditation,55
2023-08-20,meditation,73
2023-08-20,mindfulness,55
2023-08-20,yoga nidra,74
2023-08-27,breathwork,43
2023-08-27,guided meditation,56
2023-08-27,meditation,73
2023-08-27,mindfulness,56
2023-08-27,yoga nidra,71
2023-09-03,breathwork,45
2023-09-03,guided meditation,57
2023-09-03,meditation,75
2023-09-03,mindfulness,56
2023-09-03,yoga nidra,75
2023-09-10,breathwork,47
2023-09-10,guided meditation,58
2023-09-10,meditation,73
2023-09-10,mindfulness,58
2023-09-10,yoga nidra,71
2023-09-17,breathwork,47
2023-09-17,guided meditation,60
2023-09-17,meditation,77
2023-09-17,mindfulness,64
2023-09-17,yoga nidra,77
2023-09-24,breathwork,42
2023-09-24,guided meditation,57
2023-09-24,meditation,76
2023-09-24,mindfulness,63
2023-09-24,yoga nidra,78
2023-10-01,breathwork,41
2023-10-01,guided meditation,56
2023-10-01,meditation,80
2023-10-01,mindfulness,60
2023-10-01,yoga nidra,76
2023-10-08,breathwork,41
2023-10-08,guided meditation,54
2023-10-08,meditation,76
2023-10-08,mindfulness,61
2023-10-08,yoga nidra,75
2023-10-15,breathwork,43
2023-10-15,guided meditation,56
2023-10-15,meditation,72
2023-10-15,mindfulness,63
2023-10-15,yoga nidra,81
2023-10-22,breathwork,42
2023-10-22,guided meditation,55
2023-10-22,meditation,72
2023-10-22,mindfulness,60
2023-10-22,yoga nidra,73
2023-10-29,breathwork,42
2023-10-29,guided meditation,54
2023-10-29,meditation,69
2023-10-29,mindfulness,58
2023-10-29,yoga nidra,66
2023-11-05,breathwork,42
2023-11-05,guided meditation,57
2023-11-05,meditation,70
2023-11-05,mindfulness,60
2023-11-05,yoga nidra,74
2023-11-12,breathwork,49
2023-11-12,guided meditation,51
2023-11-12,meditation,71
2023-11-12,mindfulness,60
2023-11-12,yoga nidra,67
2023-11-19,breathwork,44
2023-11-19,guided meditation,50
2023-11-19,meditation,66
2023-11-19,mindfulness,53
2023-11-19,yoga nidra,68
2023-11-26,breathwork,44
2023-11-26,guided meditation,57
2023-11-26,meditation,72
2023-11-26,mindfulness,60
2023-11-26,yoga nidra,73
2023-12-03,breathwork,41
2023-12-03,guided meditation,53
2023-12-03,meditation,73
2023-12-03,mindfulness,59
2023-12-03,yoga nidra,73
2023-12-10,breathwork,38
2023-12-10,guided meditation,54
2023-12-10,meditation,74
2023-12-10,mindfulness,57
2023-12-10,yoga nidra,76
2023-12-17,breathwork,37
2023-12-17,guided meditation,48
2023-12-17,meditation,70
2023-12-17,mindfulness,47
2023-12-17,yoga nidra,67
2023-12-24,breathwork,35
2023-12-24,guided meditation,45
2023-12-24,meditation,69
2023-12-24,mindfulness,39
2023-12-24,yoga nidra,68
2023-12-31,breathwork,48
2023-12-31,guided meditation,55
2023-12-31,meditation,83
2023-12-31,mindfulness,53
2023-12-31,yoga nidra,74
2024-01-07,breathwork,61
2024-01-07,guided meditation,55
2024-01-07,meditation,76
2024-01-07,mindfulness,59
2024-01-07,yoga nidra,76
2024-01-14,breathwork,53
2024-01-14,guided meditation,55
2024-01-14,meditation,73
2024-01-14,mindfulness,57
2024-01-14,yoga nidra,76
2024-01-21,breathwork,58
2024-01-21,guided meditation,55
2024-01-21,meditation,73
2024-01-21,mindfulness,62
2024-01-21,yoga nidra,76
2024-01-28,breathwork,55
2024-01-28,guided meditation,58
2024-01-28,meditation,78
2024-01-28,mindfulness,67
2024-01-28,yoga nidra,100
2024-02-04,breathwork,53
2024-02-04,guided meditation,56
2024-02-04,meditation,80
2024-02-04,mindfulness,65
2024-02-04,yoga nidra,84
2024-02-11,breathwork,49
2024-02-11,guided meditation,59
2024-02-11,meditation,79
2024-02-11,mindfulness,58
2024-02-11,yoga nidra,80
2024-02-18,breathwork,50
2024-02-18,guided meditation,56
2024-02-18,meditation,76
2024-02-18,mindfulness,62
2024-02-18,yoga nidra,79
2024-02-25,breathwork,53
2024-02-25,guided meditation,60
2024-02-25,meditation,76
2024-02-25,mindfulness,64
2024-02-25,yoga nidra,74
2024-03-03,breathwork,49
2024-03-03,guided meditation,58
2024-03-03,meditation,74
2024-03-03,mindfulness,60
2024-03-03,yoga nidra,77
2024-03-10,breathwork,49
2024-03-10,guided meditation,55
2024-03-10,meditation,72
2024-03-10,mindfulness,60
2024-03-10,yoga nidra,80
2024-03-17,breathwork,47
2024-03-17,guided meditation,57
2024-03-17,meditation,86
2024-03-17,mindfulness,64
2024-03-17,yoga nidra,76
2024-03-24,breathwork,50
2024-03-24,guided meditation,55
2024-03-24,meditation,72
2024-03-24,mindfulness,54
2024-03-24,yoga nidra,72
2024-03-31,breathwork,53
2024-03-31,guided meditation,58
2024-03-31,meditation,71
2024-03-31,mindfulness,57
2024-03-31,yoga nidra,70
2024-04-07,breathwork,49
2024-04-07,guided meditation,59
2024-04-07,meditation,70
2024-04-07,mindfulness,60
